name,prompt,negative_prompt
Art Nouveau,"Art Nouveau, beautiful art, BREAK {prompt} BREAK, sleek, organic forms, long, sinuous, art nouveau style","BREAK ugly, deformed, noisy, blurry, low contrast, industrial, mechanical"
Astral Aura,"Astral Aura, BREAK {prompt} BREAK, astral, colorful aura, vibrant energy","BREAK ugly, deformed, noisy, blurry, low contrast"
Avant-garde,"Avant-garde, BREAK {prompt} BREAK, unusual, experimental, avant-garde art","BREAK ugly, deformed, noisy, blurry, low contrast"
Baroque,"Baroque, BREAK {prompt} BREAK, dramatic, exuberant, grandeur, baroque art","BREAK ugly, deformed, noisy, blurry, low contrast"
Bauhaus-Style Poster,"Bauhaus-Style Poster, BREAK {prompt} BREAK, simple geometric shapes, clean lines, primary colors, Bauhaus-Style Poster","BREAK ugly, deformed, noisy, blurry, low contrast"
Blueprint Schematic Drawing,"Blueprint Schematic Drawing, BREAK {prompt} BREAK, technical drawing, blueprint, schematic","BREAK ugly, deformed, noisy, blurry, low contrast"
Caricature,"Caricature, BREAK {prompt} BREAK, exaggerated, comical, caricature","BREAK ugly, deformed, noisy, blurry, low contrast, realistic"
Cel Shaded Art,"Cel Shaded Art, BREAK {prompt} BREAK, 2D, flat color, toon shading, cel shaded style","BREAK ugly, deformed, noisy, blurry, low contrast"
Character Design Sheet,"Character Design Sheet, BREAK {prompt} BREAK, character reference sheet, character turn around","BREAK ugly, deformed, noisy, blurry, low contrast"
Classicism Art,"Classicism Art, BREAK {prompt} BREAK, inspired by Roman and Greek culture, clarity, harmonious, classicism art","BREAK ugly, deformed, noisy, blurry, low contrast"
Color Field Painting,"Color Field Painting, BREAK {prompt} BREAK, abstract, simple, geometric, color field painting style","BREAK ugly, deformed, noisy, blurry, low contrast"
Colored Pencil Art,"Colored Pencil Art, BREAK {prompt} BREAK, colored pencil strokes, light color, visible paper texture, colored pencil art","BREAK ugly, deformed, noisy, blurry, low contrast"
Conceptual Art,"Conceptual Art, BREAK {prompt} BREAK, concept art","BREAK ugly, deformed, noisy, blurry, low contrast"
Constructivism,"Constructivism Art, BREAK {prompt} BREAK, minimalistic, geometric forms, constructivism art","BREAK ugly, deformed, noisy, blurry, low contrast"
Cubism,"Cubism Art, BREAK {prompt} BREAK, flat geometric forms, cubism art","BREAK ugly, deformed, noisy, blurry, low contrast"
Dadaism,"Dadaism Art, BREAK {prompt} BREAK, satirical, nonsensical, dadaism art","BREAK ugly, deformed, noisy, blurry, low contrast"
Dark Fantasy,"Dark Fantasy Art, BREAK {prompt} BREAK, dark, moody, dark fantasy style","BREAK ugly, deformed, noisy, blurry, low contrast, bright, sunny"
Dark Moody Atmosphere,"Dark Moody Atmosphere, BREAK {prompt} BREAK, dramatic, mysterious, dark moody atmosphere","BREAK ugly, deformed, noisy, blurry, low contrast, vibrant, colorful, bright"
DMT Art Style,"DMT Art Style, BREAK {prompt} BREAK, bright colors, surreal visuals, swirling patterns, DMT art style","BREAK ugly, deformed, noisy, blurry, low contrast"
Doodle Art,"Doodle Art Style, BREAK {prompt} BREAK, drawing, freeform, swirling patterns, doodle art style","BREAK ugly, deformed, noisy, blurry, low contrast"
Double Exposure,"Double Exposure Style, BREAK {prompt} BREAK, double image ghost effect, image combination, double exposure style","BREAK ugly, deformed, noisy, blurry, low contrast"
Dripping Paint Splatter Art,"Dripping Paint Splatter Art, BREAK {prompt} BREAK, dramatic, paint drips, splatters, dripping paint","BREAK ugly, deformed, noisy, blurry, low contrast"
Expressionism,"Expressionism Art Style, BREAK {prompt} BREAK, movement, contrast, emotional, exaggerated forms, expressionism art style","BREAK ugly, deformed, noisy, blurry, low contrast"
Faded Polaroid Photo,"Faded Polaroid Photo, BREAK {prompt} BREAK, analog, old faded photo, old polaroid","BREAK ugly, deformed, noisy, blurry, low contrast, vibrant, colorful"
Fauvism,"Fauvism Art, BREAK {prompt} BREAK, painterly, bold colors, textured brushwork, fauvism art","BREAK ugly, deformed, noisy, blurry, low contrast"
Flat 2D Art,"Flat 2D Art, BREAK {prompt} BREAK, simple flat color, 2-dimensional, Flat 2D Art Style","BREAK ugly, deformed, noisy, blurry, low contrast, 3D, photo, realistic"
Fortnite Art Style,"Fortnite Art Style, BREAK {prompt} BREAK, 3D cartoon, colorful, Fortnite Art Style","BREAK ugly, deformed, noisy, blurry, low contrast, photo, realistic"
Futurism,"Futurism Art Style, BREAK {prompt} BREAK, dynamic, dramatic, Futurism Art Style","BREAK ugly, deformed, noisy, blurry, low contrast"
Glitchcore,"Glitchcore Art Style, BREAK {prompt} BREAK, dynamic, dramatic, distorted, vibrant colors, glitchcore art style","BREAK ugly, deformed, noisy, blurry, low contrast"
Glo-fi,"Glo-fi Art Style, BREAK {prompt} BREAK, dynamic, dramatic, vibrant colors, glo-fi art style","BREAK ugly, deformed, noisy, blurry, low contrast"
Googie Art Style,"Googie Art Style, BREAK {prompt} BREAK, dynamic, dramatic, 1950's futurism, bold boomerang angles, Googie art style","BREAK ugly, deformed, noisy, blurry, low contrast"
Graffiti Art,"Graffiti Art Style, BREAK {prompt} BREAK, dynamic, dramatic, vibrant colors, graffiti art style","BREAK ugly, deformed, noisy, blurry, low contrast"
Harlem Renaissance Art,"Harlem Renaissance Art Style, BREAK {prompt} BREAK, dynamic, dramatic, 1920s African American culture, Harlem Renaissance art style","BREAK ugly, deformed, noisy, blurry, low contrast"
High Fashion,"High Fashion, BREAK {prompt} BREAK, dynamic, dramatic, haute couture, elegant, ornate clothing, High Fashion","BREAK ugly, deformed, noisy, blurry, low contrast"
Idyllic,"Idyllic, BREAK {prompt} BREAK, peaceful, happy, pleasant, happy, harmonious, picturesque, charming","BREAK ugly, deformed, noisy, blurry, low contrast"
Impressionism,"Impressionism, BREAK {prompt} BREAK, painterly, small brushstrokes, visible brushstrokes, impressionistic style","BREAK ugly, deformed, noisy, blurry, low contrast"
Infographic Drawing,"Infographic Drawing, BREAK {prompt} BREAK, diagram, infographic","BREAK ugly, deformed, noisy, blurry, low contrast"
Ink Dripping Drawing,"Ink Dripping Drawing, BREAK {prompt} BREAK, ink drawing, dripping ink","BREAK ugly, deformed, noisy, blurry, low contrast, colorful, vibrant"
Japanese Ink Drawing,"Japanese Ink Drawing, BREAK {prompt} BREAK, ink drawing, inkwash, Japanese Ink Drawing","BREAK ugly, deformed, noisy, blurry, low contrast, colorful, vibrant"
Knolling Photography,"Knolling Photography, BREAK {prompt} BREAK, flat lay photography, object arrangment, knolling photography","BREAK ugly, deformed, noisy, blurry, low contrast"
Light Cheery Atmosphere,"Light Cheery Atmosphere, BREAK {prompt} BREAK, happy, joyful, cheerful, carefree, gleeful, lighthearted, pleasant atmosphere","BREAK ugly, deformed, noisy, blurry, low contrast, monochromatic, dark, moody"
Logo Design,"Logo Design, BREAK {prompt} BREAK, dynamic graphic art, vector art, minimalist, professional logo design","BREAK ugly, deformed, noisy, blurry, low contrast"
Luxurious Elegance,"Luxurious Elegance, BREAK {prompt} BREAK, extravagant, ornate, designer, opulent, picturesque, lavish","BREAK ugly, deformed, noisy, blurry, low contrast"
Macro Photography,"Macro Photography, BREAK {prompt} BREAK, close-up, macro 100mm, macro photography","BREAK ugly, deformed, noisy, blurry, low contrast"
Mandola Art,"Mandola art style, BREAK {prompt} BREAK, complex, circular design, mandola","BREAK ugly, deformed, noisy, blurry, low contrast"
Marker Drawing,"Marker Drawing, BREAK {prompt} BREAK, bold marker lines, visible paper texture, marker drawing","BREAK ugly, deformed, noisy, blurry, low contrast, photograph, realistic"
Medievalism,"Medievalism, BREAK {prompt} BREAK, inspired by The Middle Ages, medieval art, elaborate patterns and decoration, Medievalism","BREAK ugly, deformed, noisy, blurry, low contrast"
Minimalism,"Minimalism, BREAK {prompt} BREAK, abstract, simple geometric shapes, hard edges, sleek contours, Minimalism","BREAK ugly, deformed, noisy, blurry, low contrast"
Neo-Baroque,"Neo-Baroque, BREAK {prompt} BREAK, ornate and elaborate, dynamic, Neo-Baroque","BREAK ugly, deformed, noisy, blurry, low contrast"
Neo-Byzantine,"Neo-Byzantine, BREAK {prompt} BREAK, grand decorative religious style, Orthodox Christian inspired, Neo-Byzantine","BREAK ugly, deformed, noisy, blurry, low contrast"
Neo-Futurism,"Neo-Futurism, BREAK {prompt} BREAK, high-tech, curves, spirals, flowing lines, idealistic future, Neo-Futurism","BREAK ugly, deformed, noisy, blurry, low contrast"
Neo-Impressionism,"Neo-Impressionism, BREAK {prompt} BREAK, tiny dabs of color, Pointillism, painterly, Neo-Impressionism","BREAK ugly, deformed, noisy, blurry, low contrast, photograph, realistic"
Neo-Rococo,"Neo-Rococo, BREAK {prompt} BREAK, curved forms, naturalistic ornamentation, elaborate, decorative, gaudy, Neo-Rococo","BREAK ugly, deformed, noisy, blurry, low contrast"
Neoclassicism,"Neoclassicism, BREAK {prompt} BREAK, ancient Rome and Greece inspired, idealic, sober colors, Neoclassicism","BREAK ugly, deformed, noisy, blurry, low contrast"
Op Art,"Op Art, BREAK {prompt} BREAK, optical illusion, abstract, geometric pattern, impression of movement, Op Art","BREAK ugly, deformed, noisy, blurry, low contrast"
Ornate and Intricate,"Ornate and Intricate, BREAK {prompt} BREAK, decorative, highly detailed, elaborate, ornate, intricate","BREAK ugly, deformed, noisy, blurry, low contrast"
Pencil Sketch Drawing,"Pencil Sketch Drawing, BREAK {prompt} BREAK, black and white drawing, graphite drawing","BREAK ugly, deformed, noisy, blurry, low contrast"
Pop Art 2,"Pop Art, BREAK {prompt} BREAK, vivid colors, flat color, 2D, strong lines, Pop Art","BREAK ugly, deformed, noisy, blurry, low contrast, photo, realistic"
Rococo,"Rococo, BREAK {prompt} BREAK, flamboyant, pastel colors, curved lines, elaborate detail, Rococo","BREAK ugly, deformed, noisy, blurry, low contrast"
Silhouette Art,"Silhouette Art, BREAK {prompt} BREAK, high contrast, well defined, Silhouette Art","BREAK ugly, deformed, noisy, blurry, low contrast"
Simple Vector Art,"Simple Vector Art, BREAK {prompt} BREAK, 2D flat, simple shapes, minimalistic, professional graphic, flat color, high contrast, Simple Vector Art","BREAK ugly, deformed, noisy, blurry, low contrast, 3D, photo, realistic"
Sketchup,"Sketchup, BREAK {prompt} BREAK, CAD, professional design, Sketchup","BREAK ugly, deformed, noisy, blurry, low contrast, photo, photograph"
Steampunk 2,"Steampunk, BREAK {prompt} BREAK, retrofuturistic science fantasy, steam-powered tech, vintage industry, gears, neo-victorian, steampunk","BREAK ugly, deformed, noisy, blurry, low contrast"
Surrealism,"Surrealism, BREAK {prompt} BREAK, expressive, dramatic, organic lines and forms, dreamlike and mysterious, Surrealism","BREAK ugly, deformed, noisy, blurry, low contrast, realistic"
Suprematism,"Suprematism, BREAK {prompt} BREAK, abstract, limited color palette, geometric forms, Suprematism","BREAK ugly, deformed, noisy, blurry, low contrast, realistic"
Terragen,"Terragen, BREAK {prompt} BREAK, beautiful massive landscape, epic scenery, Terragen","BREAK ugly, deformed, noisy, blurry, low contrast"
Tranquil Relaxing Atmosphere,"Tranquil Relaxing Atmosphere, BREAK {prompt} BREAK, calming style, soothing colors, peaceful, idealic, Tranquil Relaxing Atmosphere","BREAK ugly, deformed, noisy, blurry, low contrast, oversaturated"
Sticker Designs,"Vector Art Stickers, BREAK {prompt} BREAK, professional vector design, sticker designs, Sticker Sheet","BREAK ugly, deformed, noisy, blurry, low contrast"
Vibrant Rim Light,"Vibrant Rim Light, BREAK {prompt} BREAK, bright rim light, high contrast, bold edge light","BREAK ugly, deformed, noisy, blurry, low contrast"
Volumetric Lighting,"Volumetric Lighting, BREAK {prompt} BREAK, light depth, dramatic atmospheric lighting, Volumetric Lighting","BREAK ugly, deformed, noisy, blurry, low contrast"
Watercolor 2,"Watercolor style painting, BREAK {prompt} BREAK, visible paper texture, colorwash, watercolor","BREAK ugly, deformed, noisy, blurry, low contrast, photo, realistic"
Whimsical and Playful,"Whimsical and Playful, BREAK {prompt} BREAK, imaginative, fantastical, bight colors, stylized, happy, Whimsical and Playful","BREAK ugly, deformed, noisy, blurry, low contrast, drab, boring, moody"
"Kamph_3d-model","professional 3d model BREAK {prompt} BREAK, octane render, highly detailed, volumetric, dramatic lighting","BREAK ugly, deformed, noisy, low poly, blurry, painting"
"Kamph_Analog film","analog film photo BREAK {prompt} BREAK, faded film, desaturated, 35mm photo, grainy, vignette, vintage, Kodachrome, Lomography, stained, highly detailed, found footage","BREAK painting, drawing, illustration, glitch, deformed, mutated, cross-eyed, ugly, disfigured"
"Kamph_Anime","anime artwork BREAK {prompt} BREAK, anime style, key visual, vibrant, studio anime,  highly detailed","BREAK photo, deformed, black and white, realism, disfigured, low contrast"
"Kamph_Cinematic","cinematic film still BREAK {prompt} BREAK, shallow depth of field, vignette, highly detailed, high budget Hollywood film, bokeh, cinemascope, moody, epic, gorgeous, film grain","BREAK anime, cartoon, graphic, text, painting, crayon, graphite, abstract, glitch"
"Kamph_Comic book","comic BREAK {prompt} BREAK, graphic illustration, comic art, graphic novel art, vibrant, highly detailed","BREAK photograph, deformed, glitch, noisy, realistic, stock photo"
"Kamph_Digital art","concept art BREAK {prompt} BREAK, digital artwork, illustrative, painterly, matte painting, highly detailed","BREAK photo, photorealistic, realism, ugly"
"Kamph_Fantasy art","ethereal fantasy concept art of  BREAK {prompt} BREAK, magnificent, celestial, ethereal, painterly, epic, majestic, magical, fantasy art, cover art, dreamy","BREAK photographic, realistic, realism, 35mm film, dslr, cropped, frame, text, deformed, glitch, noise, noisy, off-center, deformed, cross-eyed, closed eyes, bad anatomy, ugly, disfigured, sloppy, duplicate, mutated, black and white"
"Kamph_Cyberpunk","neonpunk style BREAK {prompt} BREAK, cyberpunk, vaporwave, neon, vibes, vibrant, stunningly beautiful, crisp, detailed, sleek, ultramodern, magenta highlights, dark purple shadows, high contrast, cinematic, ultra detailed, intricate, professional","BREAK painting, drawing, illustration, glitch, deformed, mutated, cross-eyed, ugly, disfigured"
"Kamph_Photo with Bokeh","cinematic photo BREAK {prompt} BREAK, 35mm photograph, film, bokeh, professional, 4k, highly detailed","BREAK drawing, painting, crayon, sketch, graphite, impressionist, noisy, blurry, soft, deformed, ugly"
"Kamph_Photo without Bokeh","cinematic photo BREAK {prompt} BREAK, 35mm photograph, film, professional, 4k, highly detailed","BREAK bokeh, drawing, painting, crayon, sketch, graphite, impressionist, noisy, blurry, soft, deformed, ugly"
"Kamph_Enhancer","breathtaking BREAK {prompt} BREAK, masterpiece, award-winning, professional, highly detailed","BREAK ugly, deformed, noisy, blurry, distorted, grainy"
"Bens_Red Dress (Tutorial Prompt) (PO)","a fashion shoot of a european woman with blonde hair in a maxi silk red dress with slit at front of dress from thigh to floor, (legs exposed:1.8), Red Patent Pointed Stiletto Heel Court Shoes, plain background, RAW candid cinema, 35mm, color graded portra 400 film, remarkable color, ultra realistic, textured skin, remarkable detailed pupils, realistic dull skin noise, visible skin detail, skin fuzz, dry skin, shot with cinematic camera",
"Bens_Daguerreotype Photo 1920","daguerreotype photo, BREAK {prompt} BREAK,  1920s photography, historical photo, aged photo, black & white photography, damaged photo","BREAK cartoon, illustration, painting, frame"
"Bens Underwater and god rays","deep underwater, BREAK {prompt} BREAK highly detailed,  intricate lighting, god rays","BREAK ugly, deformed, noisy, blurry, low contrast,"
